Station,Date & Time (Summer),Global radiation (W/m^2),Relative humidity (%),Temperature (ï¿½ï,Maximum 1 minute wind speed (m/s),Gust wind speed (m/s)
Yotvata,01/01/2016 14:00,102,43,14.8,6.6,8.2
Yotvata,02/01/2016 14:00,623,41,13.4,3.1,3.7
Yotvata,03/01/2016 14:00,557,32,16.8,2.1,2.4
Yotvata,04/01/2016 14:00,545,42,18.6,2.6,3.1
Yotvata,05/01/2016 14:00,536,34,20,1.3,1.7
Yotvata,06/01/2016 14:00,554,24,22.8,3.6,5
Yotvata,07/01/2016 14:00,493,23,23.4,5,7.5
Yotvata,08/01/2016 14:00,307,34,19.8,5.1,7.3
Yotvata,09/01/2016 14:00,273,42,20.3,5.9,7.4
Yotvata,10/01/2016 14:00,573,38,19.8,5.2,6.5
Yotvata,11/01/2016 14:00,583,43,18.9,3.6,4.8
Yotvata,12/01/2016 14:00,565,46,18.9,4.8,7.2
Yotvata,13/01/2016 14:00,580,41,20.9,3.5,5
Yotvata,14/01/2016 14:00,581,35,21.3,2.3,2.5
Yotvata,15/01/2016 14:00,586,41,20.7,5.8,8.4
Yotvata,16/01/2016 14:00,583,39,21,4.2,5.9
Yotvata,17/01/2016 14:00,594,33,23.1,3.1,3.7
Yotvata,18/01/2016 14:00,303,30,18.6,2.2,3
Yotvata,19/01/2016 14:00,500,32,17,4.7,5.8
Yotvata,20/01/2016 14:00,581,32,18.3,4.2,5.1
Yotvata,21/01/2016 14:00,625,42,17.4,4.7,6.1
Yotvata,22/01/2016 14:00,597,41,18.1,4.5,6.3
Yotvata,23/01/2016 14:00,290,49,17.4,1.9,2.8
Yotvata,24/01/2016 14:00,242,44,15,6,7.7
Yotvata,25/01/2016 14:00,168,37,13.7,4.1,5.5
Yotvata,26/01/2016 14:00,242,34,13.8,4,5.2
Yotvata,27/01/2016 14:00,248,59,10.3,1.9,2.4
Yotvata,28/01/2016 14:00,651,38,12.4,4.7,6.6
Yotvata,29/01/2016 14:00,657,25,15,7.1,9.1
